image_id,class
1.jpg,0
2.jpg,0
3.jpg,9
4.jpg,3
5.jpg,2
6.jpg,3
7.jpg,1
8.jpg,2
9.jpg,9
10.jpg,4
11.jpg,2
12.jpg,0
13.jpg,5
14.jpg,0
15.jpg,1
16.jpg,6
17.jpg,3
18.jpg,9
19.jpg,1
20.jpg,1
21.jpg,2
22.jpg,5
23.jpg,0
24.jpg,0
25.jpg,2
26.jpg,3
27.jpg,0
28.jpg,2
29.jpg,9
30.jpg,3
31.jpg,2
32.jpg,0
33.jpg,0
34.jpg,7
35.jpg,1
36.jpg,0
37.jpg,4
38.jpg,6
39.jpg,8
40.jpg,0
41.jpg,8
42.jpg,2
43.jpg,8
44.jpg,7
45.jpg,1
46.jpg,4
47.jpg,2
48.jpg,3
49.jpg,2
50.jpg,6
51.jpg,0
52.jpg,2
53.jpg,5
54.jpg,0
55.jpg,4
56.jpg,5
57.jpg,2
58.jpg,8
59.jpg,2
60.jpg,1
61.jpg,8
62.jpg,9
63.jpg,3
64.jpg,9
65.jpg,0
66.jpg,4
67.jpg,5
68.jpg,0
69.jpg,8
70.jpg,5
71.jpg,3
72.jpg,7
73.jpg,8
74.jpg,1
75.jpg,8
76.jpg,2
77.jpg,6
78.jpg,2
79.jpg,9
80.jpg,9
81.jpg,9
82.jpg,2
83.jpg,0
84.jpg,9
85.jpg,4
86.jpg,0
87.jpg,5
88.jpg,8
89.jpg,1
90.jpg,6
91.jpg,3
92.jpg,4
93.jpg,0
94.jpg,2
95.jpg,4
96.jpg,7
97.jpg,7
98.jpg,8
99.jpg,0
100.jpg,7
101.jpg,8
102.jpg,0
103.jpg,0
104.jpg,6
105.jpg,4
106.jpg,1
107.jpg,4
108.jpg,0
109.jpg,0
110.jpg,0
111.jpg,9
112.jpg,4
113.jpg,2
114.jpg,9
115.jpg,5
116.jpg,0
117.jpg,9
118.jpg,6
119.jpg,0
120.jpg,0
121.jpg,4
122.jpg,2
123.jpg,2
124.jpg,3
125.jpg,7
126.jpg,2
127.jpg,7
128.jpg,0
129.jpg,3
130.jpg,0
131.jpg,0
132.jpg,1
133.jpg,0
134.jpg,0
135.jpg,0
136.jpg,0
137.jpg,2
138.jpg,5
139.jpg,5
140.jpg,5
141.jpg,2
142.jpg,6
143.jpg,0
144.jpg,1
145.jpg,0
146.jpg,0
147.jpg,8
148.jpg,9
149.jpg,5
150.jpg,2
151.jpg,1
152.jpg,6
153.jpg,0
154.jpg,1
155.jpg,1
156.jpg,2
157.jpg,8
158.jpg,1
159.jpg,0
160.jpg,3
161.jpg,4
162.jpg,7
163.jpg,6
164.jpg,5
165.jpg,2
166.jpg,5
167.jpg,0
168.jpg,8
169.jpg,1
170.jpg,2
171.jpg,8
172.jpg,4
173.jpg,6
174.jpg,6
175.jpg,0
176.jpg,4
177.jpg,5
178.jpg,0
179.jpg,2
180.jpg,1
181.jpg,4
182.jpg,6
183.jpg,1
184.jpg,2
185.jpg,0
186.jpg,2
187.jpg,0
188.jpg,1
189.jpg,0
190.jpg,1
191.jpg,5
192.jpg,6
193.jpg,2
194.jpg,2
195.jpg,4
196.jpg,9
197.jpg,6
198.jpg,0
199.jpg,4
200.jpg,0
